"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.041549,0.044972,0.0060185,0.0010151,0.0021101,0.0007612,0,0,0.05081,-0.014235,0,0.019791,0,0,0,0.0061325,0.00090107,0.0021101,8.4924,0.0030479,0.0047444,4.4099e-09,0.82,0.24,0
0.042556,0.046047,0.0059902,0.0011687,0.0021477,0.00068453,0,0,0.049953,-0.012726,0,0.017798,0,0,0,0.0060861,0.0010728,0.0021477,7.9483,0.0031022,0.0045719,4.0783e-09,0.84,0.24,0
0.043547,0.04698,0.0059638,0.0012841,0.0021744,0.00061292,0,0,0.049263,-0.011574,0,0.015936,0,0,0,0.0060432,0.0012046,0.0021744,7.3544,0.0031407,0.0044342,3.8205e-09,0.86,0.24,0
0.044526,0.047781,0.0059361,0.0013872,0.002197,0.00054342,0,0,0.048609,-0.010527,0,0.014129,0,0,0,0.0060006,0.0013228,0.002197,6.7237,0.0031734,0.004308,3.5894e-09,0.88,0.24,0
0.045492,0.048456,0.0059017,0.0014971,0.0022196,0.00047328,0,0,0.047867,-0.0093928,0,0.012305,0,0,0,0.0059523,0.0014465,0.0022196,6.0548,0.0032061,0.0041737,3.3476e-09,0.9,0.24,0
0.046441,0.04901,0.005856,0.0016252,0.0022444,0.00039781,0,0,0.046951,-0.0080489,0,0.010343,0,0,0,0.0058935,0.0015876,0.0022444,5.2952,0.0032418,0.0040185,3.0721e-09,0.92,0.24,0
0.04737,0.049441,0.0057972,0.0017774,0.0022724,0.00031138,0,0,0.045822,-0.0064346,0,0.008096,0,0,0,0.0058221,0.0017525,0.0022724,4.3447,0.0032823,0.0038369,2.7553e-09,0.94,0.24,0
0.048274,0.049749,0.0057257,0.0019559,0.0023045,0.00020783,0,0,0.044476,-0.0045319,0,0.0054035,0,0,0,0.005739,0.0019426,0.0023045,3.0467,0.0033287,0.0036301,2.4029e-09,0.96,0.24,0
0.049149,0.049925,0.0056735,0.0021724,0.0023537,0.00011668,0,0,0.043156,-0.002358,0,0.0030336,0,0,0,0.0056789,0.0021669,0.0023537,1.8141,0.0033999,0.0034241,2.0607e-09,0.98,0.24,0
0.049578,0.04998,0.0056599,0.002293,0.0023859,8.2408e-05,0,0,0.042563,-0.0012075,0,0.0021426,0,0,0,0.005663,0.0022899,0.0023859,1.3412,0.0034462,0.0033271,1.9022e-09,1,0.24,0
0.00061963,0.00064264,0.008327,0.0033991,0.0035178,0.0024758,0,0,0.062519,-0.0015435,0,0.06437,0,0,0,0.0093566,0.0023694,0.0035178,22.568,0.0050813,0.0064901,1.2576e-08,0,0.26,0
0.0012504,0.0012955,0.0083497,0.0032376,0.0034762,0.0024891,0,0,0.063355,-0.0031011,0,0.064717,0,0,0,0.0093625,0.0022248,0.0034762,22.131,0.0050212,0.0066024,1.3014e-08,0.02,0.26,0
0.0025342,0.0026212,0.008432,0.0029282,0.0034081,0.0025231,0,0,0.065311,-0.0062381,0,0.065601,0,0,0,0.0094147,0.0019455,0.0034081,21.271,0.0049228,0.0068567,1.4063e-08,0.04,0.26,0
0.0038628,0.0039849,0.008551,0.0026318,0.0033548,0.0025596,0,0,0.06755,-0.0093991,0,0.066549,0,0,0,0.0095054,0.0016775,0.0033548,20.439,0.0048459,0.0071392,1.5278e-08,0.06,0.26,0
0.0052362,0.0053821,0.0086683,0.0023373,0.0033017,0.002585,0,0,0.069766,-0.012536,0,0.067211,0,0,0,0.0095907,0.0014149,0.0033017,19.629,0.0047691,0.0074153,1.6469e-08,0.08,0.26,0
0.0066535,0.0068071,0.0087822,0.0020505,0.0032498,0.0025979,0,0,0.071921,-0.015591,0,0.067545,0,0,0,0.0096692,0.0011636,0.0032498,18.841,0.0046942,0.0076785,1.7602e-08,0.1,0.26,0
0.008113,0.0082531,0.0088912,0.0017773,0.0032006,0.0025984,0,0,0.073978,-0.018502,0,0.067559,0,0,0,0.0097401,0.0009284,0.0032006,18.083,0.004623,0.0079242,1.8656e-08,0.12,0.26,0
0.0096126,0.0097134,0.0089942,0.0015233,0.0031552,0.0025883,0,0,0.075906,-0.021215,0,0.067295,0,0,0,0.0098041,0.00071335,0.0031552,17.366,0.0045576,0.0081492,1.9618e-08,0.14,0.26,0
0.011149,0.011182,0.0090909,0.0012931,0.0031152,0.0025701,0,0,0.077684,-0.023688,0,0.066824,0,0,0,0.0098625,0.00052142,0.0031152,16.701,0.0044997,0.0083521,2.0486e-08,0.16,0.26,0
0.01272,0.012652,0.0091817,0.0010906,0.0030817,0.002547,0,0,0.0793,-0.025884,0,0.066222,0,0,0,0.0099174,0.00035496,0.0030817,16.1,0.0044513,0.0085325,2.1267e-08,0.18,0.26,0
0.014321,0.014118,0.0092678,0.00091923,0.0030561,0.0025218,0,0,0.080752,-0.027779,0,0.065567,0,0,0,0.009971,0.00021607,0.0030561,15.571,0.0044144,0.0086903,2.1972e-08,0.2,0.26,0
0.01595,0.015577,0.0093507,0.00078202,0.0030398,0.0024972,0,0,0.082042,-0.029351,0,0.064928,0,0,0,0.010026,0.00010688,0.0030398,15.12,0.0043909,0.008826,2.2615e-08,0.22,0.26,0
0.017603,0.017024,0.0094325,0.00068212,0.0030344,0.0024752,0,0,0.083176,-0.03058,0,0.064356,0,0,0,0.010085,3.0014e-05,0.0030344,14.75,0.004383,0.0089395,2.3209e-08,0.24,0.26,0
0.019277,0.018454,0.0095158,0.00062313,0.0030417,0.002457,0,0,0.084163,-0.031441,0,0.063881,0,0,0,0.01015,-1.1027e-05,0.0030417,14.463,0.0043935,0.0090303,2.3767e-08,0.26,0.26,0
0.020969,0.019863,0.009604,0.00060948,0.003064,0.0024422,0,0,0.085019,-0.031909,0,0.063496,0,0,0,0.010225,-1.14e-05,0.003064,14.253,0.0044258,0.0090972,2.4299e-08,0.28,0.26,0
0.022678,0.021245,0.0097022,0.00064687,0.0031047,0.0024289,0,0,0.085767,-0.031952,0,0.063151,0,0,0,0.010313,3.5736e-05,0.0031047,14.107,0.0044846,0.0091382,2.4813e-08,0.3,0.26,0
0.0244,0.022593,0.009819,0.00074301,0.0031686,0.0024127,0,0,0.086455,-0.031533,0,0.062729,0,0,0,0.010422,0.00014035,0.0031686,14.001,0.0045769,0.0091511,2.5323e-08,0.32,0.26,0
